mgi_symbol,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches
Lancl1,430480.0,True,2478.0,416.8263888888889,123812.96626984124,1.0384180439677844,1
Acadl,25265.0,True,2117.0,33.9375,8509.417682926829,1.4141644638802078,5
Nop58,140741.0,True,1478.0,96.14583333333333,15679.546602787457,0.9243964140887192,1
Stradb,228912.0,True,1909.0,141.28472222222223,28938.141647309323,1.2257018313118586,3
Orc2,63293.0,True,870.0,79.58680555555556,14071.727630178086,1.2190015174588407,2
Col5a2,5209.0,True,2235.0,0.4375,54.25391986062717,1.1842339666049972,3
Kdelc1,34950.0,True,1759.0,30.59375,4640.959821428572,1.1459439825905424,3
Ercc5,67065.0,True,2275.5,49.951388888888886,10644.143970189702,1.405202788695975,6
Khdrbs2,152121.0,True,2708.5,107.33680555555556,19012.5377347077,1.1932017568696573,4
Il1r1,822.0,True,1674.0,2.1180555555555554,294.4250387146729,0.8282752806976207,1
Il1r2,1873.0,True,1758.0,4.388888888888889,680.133952768099,0.899205329812633,1
Map4k4,40820.0,True,849.0,8.979166666666666,805.1354529616724,0.8787468673764471,1
Npas2,4842.0,True,1584.0,2.7152777777777777,357.29844173441734,1.0839184804038686,3
Stk17b,2295.0,True,2716.0,3.2118055555555554,373.43581833139757,1.0977972020717173,3
Pms1,21721.0,True,1142.0,22.92013888888889,5189.355969318622,1.590342589811956,5
Inpp1,111201.0,True,1992.5,94.98958333333333,14056.337870209058,1.0128497302906436,2
Gls,194670.0,True,1240.0,255.99305555555554,65027.498209446385,1.379923423228055,5
Tmeff2,626849.0,True,219.0,560.5104166666666,296436.36226045294,2.2963546378534034,6
Mgat4a,170958.0,True,1355.0,171.69791666666666,35653.59135452962,1.309147062042407,3
Tmem131,67657.0,True,406.0,39.927083333333336,5528.332643728222,1.0148775367440253,1
Zap70,4431.0,True,1608.0,2.3819444444444446,235.83967286101435,1.1040343655903244,3
Sema4c,26888.0,True,765.0,5.21875,1013.4606925087107,0.8684483876590351,1
Plekhb2,616633.0,True,2057.0,1500.2152777777778,899884.8106368566,1.2502627098377685,3
Zfp142,56565.0,True,2293.0,61.854166666666664,12142.104094076656,1.282216425206961,4
Col19a1,2010.0,True,1895.0,1.46875,311.4345601045296,1.2058356752444104,4
Rhbdd1,13511.0,True,1852.0,15.729166666666666,2998.170296167247,1.3267494395658836,5
Fam135a,77322.0,True,2484.0,64.03819444444444,14022.754633662405,1.3872486854933188,5
Ogfrl1,33068.0,True,1064.0,61.854166666666664,9506.564024390244,0.8987170516227084,1
Sphkap,130843.0,True,698.5,238.20138888888889,100249.93142663571,1.709001776137514,6
Wnt10a,995.0,True,1994.0,3.3958333333333335,491.6406794425087,0.7550592174555516,1
Ppm1f,109881.0,True,2523.0,148.30902777777777,39584.4721133372,1.2967147364648424,5
Igfbp5,153435.0,True,1847.5,128.19791666666666,30240.35442073171,1.5924923272500415,6
Xrcc5,46701.0,True,1532.0,58.15625,10349.588741289199,1.299263383977274,4
Tmem169,142058.0,True,1336.5,71.61111111111111,17908.015485869142,1.358718862876822,4
Pecr,8960.0,True,2446.5,8.371527777777779,707.851033197832,1.0430314960506553,2
Fn1,6804.0,True,2209.5,0.6527777777777778,47.18912117692605,1.2400987875278358,4
Ankzf1,49012.0,True,2390.0,45.65625,9375.745535714284,1.1044244247017316,3
Glb1l,30949.0,True,1839.5,4.798611111111111,601.116095625242,1.3271674538767304,4
Tuba4a,263912.0,True,2380.5,793.0694444444445,427539.5282617112,1.1467246004696694,2
Obsl1,62588.0,True,2618.0,34.572916666666664,5478.440657665506,0.9338747575273215,1
Stk11ip,110614.0,True,2344.0,61.08680555555556,10696.51160230352,1.234370280331351,4
Trip12,137364.0,True,528.0,120.60069444444444,20552.157072686794,1.0727597385693393,1
Slc16a14,45099.0,True,1063.5,8.479166666666666,1357.6581010452962,1.6671269620758515,6
2810459M11Rik,4404.0,True,539.5,6.236111111111111,1380.9196670538133,1.1803811554137627,2
Epha4,17040.0,True,1157.0,15.055555555555555,4646.951606658924,1.5811217078366202,5
Nmur1,5191.0,True,1789.5,5.572916666666667,1047.2629573170732,1.5101642630460324,6
Pde6d,140598.0,True,1280.0,103.03472222222223,9016.256629887726,0.7756890745649515,1
Cops7b,167475.0,True,1479.0,83.60763888888889,15726.39952332559,1.0197288083314335,1
Nppc,12909.0,True,503.0,21.86111111111111,2944.168795973674,1.062320122106323,1
Ecel1,48009.0,True,189.0,93.33333333333333,69132.91289198607,2.4545331992142163,6
Mrpl44,80109.0,True,2492.0,79.52083333333333,10779.476916376305,1.0183020383835693,2
Serpine2,621772.0,True,137.5,818.4340277777778,772790.4869216995,2.6321565000489957,6
Ngef,89660.0,True,696.0,155.17708333333334,31976.73159843205,1.4396577838299383,3
Pask,17022.0,True,1370.5,9.54861111111111,2621.558604336043,1.7374584769503478,6
Sept2,152428.0,True,2670.0,72.17013888888889,8247.897781165313,0.9607259137623165,2
Ing5,30731.0,True,1449.0,38.201388888888886,8828.454074719319,1.4607669132652887,6
Atg16l1,195273.0,True,2394.0,127.88541666666667,32948.17149390243,1.428432845636842,5
Scly,8421.0,True,1137.0,9.01388888888889,576.4667053813396,0.9036263005611924,1
Asb1,97005.0,True,1067.0,73.875,13131.217770034844,1.5454597437280349,5
Cdh7,43851.0,True,1461.5,49.0,9473.407665505227,1.5109333684333555,6
Hdac4,111726.0,True,2344.0,99.96875,17947.535605400695,1.0225498107714819,1
Htr4,44606.0,True,561.0,52.8125,12068.570993031359,1.7423156868067797,5
Pam,314009.0,True,1684.0,490.47569444444446,184429.46282181566,1.4436855521140943,5
Lypd1,51990.0,True,305.0,104.00347222222223,42384.49824574139,1.1200963371598853,1
