GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	neuro_ceoff	neuro_ELBO_gain	neuro_pval	neuro_FDR
Thrap3_nmdSE_1	6456	939	6.762e-01	-8.274e+00	3.193e+00	1.452e+00	2.307e+00	3.172e-02	9.750e-02
Thrap3_13	4492	1542	7.694e-01	-1.350e-01	4.171e+00	1.365e+00	1.044e+00	1.484e-01	2.700e-01
Thyn1_1	11339	3431	6.373e-01	4.106e-01	4.581e+00	1.264e+00	1.638e+00	7.028e-02	1.650e-01
Tia1_5	7469	2286	8.368e-01	4.072e+00	3.142e+00	-1.344e+00	1.726e+00	6.321e-02	1.545e-01
Tia1_nmdSE_2	9032	2653	8.601e-01	-3.663e+00	3.744e+00	5.577e-01	9.521e-01	1.676e-01	2.938e-01
Timm10b_1	33105	6029	9.093e-01	6.610e+00	3.696e+00	-7.958e-01	3.730e-01	3.877e-01	5.234e-01
Timm22_2	16403	9221	6.321e-01	7.700e+00	3.957e+00	5.861e-01	8.984e-02	6.716e-01	8.246e-01
Timm9_4	5791	2503	5.984e-01	4.743e+00	3.701e+00	1.178e+00	2.479e+00	2.597e-02	8.552e-02
Tipin_3	5198	1293	2.824e-01	7.113e+00	3.304e+00	-1.507e+00	-7.998e-01	1.000e+00	1.000e+00
Tk2_2	5092	1754	5.311e-01	4.936e-01	5.504e+00	2.501e+00	2.373e+00	2.937e-02	9.265e-02
Tlk1_6	1543	613	3.575e-01	-1.677e+00	4.689e+00	1.811e+00	1.255e+00	1.131e-01	2.262e-01
Tm2d3_2	13906	1941	6.321e-01	-3.910e+00	3.411e+00	-7.443e-01	-8.145e-01	1.000e+00	1.000e+00
Tm2d3_3	13727	1762	6.321e-01	-3.789e+00	3.054e+00	-8.462e-01	6.826e-01	2.426e-01	3.737e-01
Tmco3_4	4807	842	4.016e-01	-8.116e+00	3.930e+00	-4.596e-01	-2.192e-01	1.000e+00	1.000e+00
Tmed1_1	11578	3869	4.922e-01	6.527e+00	4.765e+00	4.160e-01	-1.710e+00	1.000e+00	1.000e+00
Tmed8_1	2632	889	2.953e-01	1.523e+00	4.364e+00	4.413e+00	3.575e+00	7.500e-03	3.493e-02
Tmem11_1	31821	1097	6.192e-01	-8.033e+00	3.033e+00	-9.139e-01	1.445e+00	8.915e-02	1.949e-01
Tmem134_2	3214	993	4.041e-01	-5.563e+00	4.816e+00	-3.065e+00	2.569e+00	2.340e-02	7.937e-02
